categoria,codigo_de_vehiculo,tipo_transaccion,marca,modelo,pais,ano_modelo,clase,sub_clase,tipo,avaluo,fecha_proceso,tipo_servicio,cilindraje,tipo_combustible,fecha_compra,canton,color_1,color_2,persona_natural__juridica,provincia
104856,10033955,COMPRA LOCAL,SCANIA,K410 CB AC 12.7 2P 4X2 TM DIESEL,BRASIL,2026,OMNIBUS,BUS,PESADO,47255.14,2025-11-20,PAR,12742,DIESEL,2025-10-29,QUITO,NEG,,NATURAL,QUITO
104844,9085740,COMPRA LOCAL,MERCEDES BENZ,OF 1723 6.4 3P 4X2 TM DIESEL,BRASIL,2024,OMNIBUS,BUS,PESADO,47255.14,2025-09-17,PAR,6374,DIESEL,2025-08-13,QUITO,AZU,AZU,NATURAL,QUITO
104737,10483760,IMPORTACI?N DIRECTA,FORD,F-150 XL AC 5.0 CS 4X4 TA,ESTADOS UNIDOS,2023,CAMIONETA,CABINA SIMPLE,LIVIANO,32092.75,2025-12-30,PAR,5000,GASOLINA,2025-12-23,QUITO,PLO,,NATURAL,QUITO
104724,10082307,COMPRA LOCAL,VOLKSWAGEN,DELIVERY 11.170 AC 3.8 2P 4X2 TM DIESEL,BRASIL,2026,CAMION,FURGON-C,PESADO,47250.0,2025-11-18,PAR,3800,DIESEL,2025-11-18,QUITO,BLA,,NATURAL,QUITO
104706,10469618,COMPRA LOCAL,RANGER,125FY,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,969.98,2025-12-21,PAR,125,GASOLINA,2025-12-21,PASAJE,NEG,ROS,NATURAL,PASAJE
104706,10469643,COMPRA LOCAL,RANGER,125FY,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,969.98,2025-12-18,PAR,125,GASOLINA,2025-12-16,EL EMPALME,NEG,NEG,NATURAL,EL EMPALME
104706,10469646,COMPRA LOCAL,RANGER,125FY,CHINA POPULAR,2026,MOTOCICLETA,PASEO,LIVIANO,969.98,2025-12-18,PAR,125,GASOLINA,2025-12-16,EL EMPALME,NEG,NEG,NATURAL,EL EMPALME
104693,10347110,COMPRA LOCAL,MERCEDES BENZ,AROCS 3340 AC 12.8 2P 6X4 TA DIESEL,ALEMANIA,2026,CAMION,CAJON-C,PESADO,47255.14,2025-11-28,PAR,12816,DIESEL,2025-11-28,AMBATO,BLA,,NATURAL,AMBATO
104693,10347111,COMPRA LOCAL,MERCEDES BENZ,AROCS 3340 AC 12.8 2P 6X4 TA DIESEL,ALEMANIA,2026,CAMION,CAJON-C,PESADO,47255.14,2025-11-28,ALQ,12816,DIESEL,2025-11-28,LATACUNGA,BLA,BLA,NATURAL,LATACUNGA
104679,10479818,IMPORTACI?N DIRECTA,TOYOTA,RAV4 XLE CVT AC 2.0 5P 4X2 TA,JAPON,2023,AUTOMOVIL,STATION WAGON,LIVIANO,21923.21,2025-12-26,PAR,2000,GASOLINA,2025-12-19,MANTA,PLA,,NATURAL,MANTA
